title,url,description
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
Taylor Swift wears her and Travis Kelce's matching 'TNT' bracelet - and a Kansas City Chiefs hat - over in Australia with the NFL star still on her mind,https://www.dailymail.co.uk/sport/nfl/article-13100791/taylor-swift-travis-kelce-kansas-city-chiefs-australia-eras-tour.html,"She may be on the other side of the world, but Taylor Swift clearly can't shake it off when it comes to her feelings for Travis Kelce."
Man City manager Pep Guardiola apologises to midfielder Kalvin Phillips for publicly calling him out for being overweight last season ,https://www.dailymail.co.uk/sport/football/article-13101823/Pep-Guardiola-apologises-public-Kalvin-Phillips-overweight-jibe-midfielder-loan-West-Ham-hurt-way-Man-City-boss.html,Pep Guardiola has apologised to Kalvin Phillips for publicly revealing the midfielder was overweight last season.
Strictly Come Dancing star Robin Windsor posted black and white photo captioned 'hiding in the shadows' on Instagram weeks before his death,https://www.dailymail.co.uk/news/article-13103267/Strictly-Come-Dancing-star-Robin-Windsors-final-photo-revealed.html,"Former Strictly Come Dancing star Robin 'Bobby' Windsor told his followers that he was 'hiding in the shadows' and hinted at 'trauma' in a series of social media posts weeks before his shock death, MailOnline can reveal."
